"intercept","beta1","beta2","beta3","adj.r.sq","d","kernel","lugsail","alpha"
"3.84145882069412","9.89649720818044","16.82643512969","-8.1979633126868","0.999970511652024","1","Bartlett","Mother","0.05"
"2.99573227355399","3.67894200570981","-2.86178091667415","1.00013647124586","0.999983066117758","2","Bartlett","Mother","0.05"
"2.60490930108373","3.80793554253097","-3.56093614310551","1.40992713669963","0.999974808231239","3","Bartlett","Mother","0.05"
"2.37193225919529","3.88867395471834","-3.86496664710325","1.52776930824531","0.999975436033094","4","Bartlett","Mother","0.05"
"2.21409953870327","4.14066039369232","-4.59905507012143","1.97487067751022","0.999958554819616","5","Bartlett","Mother","0.05"
"2.09859787395733","4.20399517970782","-4.83440722557246","2.11260719266565","0.999936612232769","6","Bartlett","Mother","0.05"
"2.00959149276288","4.29520926768102","-5.18569048690775","2.34185920189161","0.99988406153021","7","Bartlett","Mother","0.05"
"1.93841413198318","4.43257392899435","-5.55811912447017","2.55835284184574","0.999800443071175","8","Bartlett","Mother","0.05"
"1.87988640051338","4.57179310530878","-5.98026201242577","2.82209068346106","0.999727477010546","9","Bartlett","Mother","0.05"
"1.83070380532751","4.78790082037712","-6.53305543158847","3.15852178905161","0.999594707036337","10","Bartlett","Mother","0.05"
"1.78864887024386","4.87736150274222","-6.7678846921823","3.3030026855683","0.999409749548396","11","Bartlett","Mother","0.05"
"1.75217248479026","4.9995023096291","-7.11553966885278","3.51711961909495","0.999256388991708","12","Bartlett","Mother","0.05"
"3.84145882069412","37.2454736586008","27.8655642356502","9.75781535851163","0.999553896428674","1","Bartlett","Zero","0.05"
"2.99573227355399","7.03269161116388","-5.18430806044008","1.01995443013836","0.999771949925284","2","Bartlett","Zero","0.05"
"2.60490930108373","7.44379466177432","-5.96862761431423","1.05400041162377","0.99939835710084","3","Bartlett","Zero","0.05"
"2.37193225919529","8.38627794954506","-7.45716833573592","1.4036774016382","0.998456117682799","4","Bartlett","Zero","0.05"
"2.21409953870327","8.82994071991207","-6.23746655297059","-0.468110878216182","0.995405623650201","5","Bartlett","Zero","0.05"
"2.09859787395733","9.12752611543258","-0.970413790218274","-6.61491829945992","0.97818338008435","6","Bartlett","Zero","0.05"
"2.00959149276288","-122.806919222776","1070.25733780343","-1034.49524777253","0.0686578623126444","7","Bartlett","Zero","0.05"
"1.93841413198318","-857128.835869167","9466803.77218536","-9459169.25366061","0.488981589372703","8","Bartlett","Zero","0.05"
"1.87988640051338","-1629368.78529254","25690852.0192815","-26452388.1579901","0.66371595636861","9","Bartlett","Zero","0.05"
"1.83070380532751","-1800238.28555922","39701288.5125607","-41554989.0938446","0.782923108041667","10","Bartlett","Zero","0.05"
"1.78864887024386","-2333697.20560441","51511655.2648857","-53114695.9566052","0.887239484070012","11","Bartlett","Zero","0.05"
"1.75217248479026","-990876.446627378","52392270.3141406","-53771545.9830676","0.938116024266673","12","Bartlett","Zero","0.05"
"3.84145882069412","56.0724014828508","-28.0178280483174","6.00844668824447","0.999034888257965","1","Bartlett","Over","0.05"
"2.99573227355399","8.36919749402103","-1.06508602235166","-2.482115925933","0.999574296116299","2","Bartlett","Over","0.05"
"2.60490930108373","8.27511460324211","4.41329081417733","-6.86069923276246","0.998349565391526","3","Bartlett","Over","0.05"
"2.37193225919529","44.2796194811448","-138.225479330092","147.728468385766","0.85219677859815","4","Bartlett","Over","0.05"
"2.21409953870327","-7351910.00805997","29377921.2075358","-13300096.120062","0.968805066641379","5","Bartlett","Over","0.05"
"2.09859787395733","-16117626.093881","80243142.2202496","-46567603.3960317","0.984756697072073","6","Bartlett","Over","0.05"
"2.00959149276288","-13642968.2611875","92309997.4770273","-57204953.03818","0.98845971070148","7","Bartlett","Over","0.05"
"1.93841413198318","-6574782.88755647","80398402.0514961","-50373212.0939505","0.990638588794587","8","Bartlett","Over","0.05"
"1.87988640051338","1208690.6319304","61920097.281618","-39536564.5309502","0.991134367904572","9","Bartlett","Over","0.05"
"1.83070380532751","8622695.76411653","40610692.9475236","-26537065.6899327","0.990504750290965","10","Bartlett","Over","0.05"
"1.78864887024386","14392749.7840004","21642242.7841768","-14134143.0303339","0.99071735822034","11","Bartlett","Over","0.05"
"1.75217248479026","18987979.0168072","6078086.79469071","-4545104.53050106","0.99077103710479","12","Bartlett","Over","0.05"
